id,category,name,level,icon
1,frontend,ReactJS,85,
2,frontend,AngularJS,80,
3,frontend,AstroJS,75,
4,frontend,TypeScript,85,
5,frontend,JavaScript,90,
6,frontend,HTML,95,
7,frontend,CSS,90,
8,frontend,TailwindCSS,80,
9,backend,Node.js,80,
10,backend,Firebase,85,
11,backend,Python,85,
12,backend,PHP,70,
13,backend,C,75,
14,backend,C++,70,
15,database,SQL Server,80,
16,database,Oracle,75,
17,database,SQL,85,
18,cloud,Firebase,85,
19,devops,Linux,90,
20,devops,Windows,95,
21,devops,Mac OS,70,
22,tools,Microsoft Office,90,
23,tools,Adobe Photoshop,75,
24,tools,Adobe Illustrator,70,
25,tools,Blender,65,
26,tools,LibreOffice,85,
27,tools,Microsoft Excel,90,
28,tools,Microsoft PowerPoint,85,
29,tools,Microsoft Word,90,
30,tools,Microsoft Outlook,85,
31,infraestrutura,Redes,90,
32,infraestrutura,Hardware,95,
33,infraestrutura,CFTV,85,
34,infraestrutura,VoIP,80,
35,infraestrutura,PABX,80
